owner,dt_create,dt_update,description,name,photo,price,tags,type
,,,Coffee,Fortune,,,,
,,,,PACKET,,18/90 gms,,
,,,Milk Powder,Nutrella(90gms),,18/90 gms,,
,,,MURI,Fortune(90gms),,15/250 gm,,
,,,Baked Beans,Taaza,,11/250,,
,,,Maggi Coconut powder,Raj Lakhi,,25/100 gms,,
,,,Milk Made,Weikfield Cornflower,,35/100 gms,,
,,,Maggi Soup,Weikfield Custard,,18/50 gms,,
,,,knor Soup,Weikfield Baking powder,,60/50 gms,,
,,,Buiscuits,Weikfield coco powder,,,,
,,,,,,,,
,,,Cornflakes,DRUK,,"48/200 gms,100/500 gms",,
,,,,M. Fruit (200 gms & 500gms),,"48/200 gms,100/500 gms",,
,,,Chow,Pineapple(200&500 gms) ,,"45/200 gms,100/500 gms",,
,,,Tea,Mango(200&500 gms),,,,
,,,,Kissan,,"48/200 gms, 112/500 gms",,
,,,,M.Fruit ,,"48/200 gms, 112/500 gms",,
,,,,Pineapple(200&500 gms) ,,"48/200 gms, 112/500 gms",,
,,,,Mango(200&500 gms),,"10/8 gms,108/50 gms",,
,,,,Nestle Classic(50 gms) 10/-,,90/50 gms,,
,,,,Sunrise,,"73/200 gms,178/500 gms,10/ satche",,
,,,,"Amulya(10/-,200&500 gms)",,"10/satches,95/200 gms",,
,,,Body Soap,"Everyday(10/-,200&400 gms)",,"26/300 gms,10/100 gms",,
,,,,Biskfarm Marie,,"30/masala,25/plain",,
,,,,Biskfarm Creamcracker(masala and plain),,"25/top,25 top gold, 25/top herb",,
,,,,"Biskfarm top,top gold,top herbs",,"22/regular,25/ sisami",,
,,,,Biskfarm gugli Regular and sisami,,"10/pack,",,
,,,,Biskfarm half half,,"10/pack,",,
,,,,Biskfarm Snackies,,20/pack,,
,,,,Biskfarm Nice,,"5/pack,25/pack",,
,,,,Biskfarm Butter biscuit,,"10/pack,20/pack",,
,,,,Biskfarm Bourbon,,"30/pack,10/pack",,
,,,Detergents,Biskfarm Kaju plus,,"30/pack,10/pack",,
,,,,Biskfarm Butter plus,,30/pack,,
,,,,Biskfarm Digestive,,40/pack,,
,,,,Biskfarm Multigrains,,30/pack,,
,,,,Biskfarm Just ginger,,30/pack,,
,,,,Biskfarm Mast jeera,,30/pack,,
,,,,Biskfarm Cruncheez,,20/pack,,
,,,Dish Wash,Biskfarm Spiecy,,"25/all packs,5/pack",,
,,,,"Biskfarm Royal cream,cottage cream,orange,cheeze cream,pineapple",,30/pack,,
